# This file is generated on 26-Aug-2022 at 15:52:19 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-03, 8.2522e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.0000e-03, 7.3925e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.0000e-03, 6.3795e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.0000e-03, 5.9089e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.0000e-02, 5.6962e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.6000e-02, 5.2691e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.7000e-02, 4.8246e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.5000e-02, 4.4191e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.7000e-02, 4.0193e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.3000e-01, 3.6524e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 2.1000e-01, 3.3334e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.5000e-01, 3.0083e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 6.0000e-01, 2.6784e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.5000e-01, 2.4049e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.7000e+00, 2.0652e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+00, 1.7366e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.1000e+00, 1.4284e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 8.3000e+00, 1.1413e-01
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.2000e+01, 9.1964e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 1.9000e+01, 6.3604e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 3.0000e+01, 3.4404e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 4.0000e+01, 1.5392e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 5.5000e+01, -6.2924e-03
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 7.2000e+01, -2.5212e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.0000e+01, -4.1324e-02
1, 1, 3.7500e+01, 5.5000e+01, 1.0000e+00, 9.9000e+01, -4.8334e-02
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-03, 7.7192e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.0000e-03, 6.9150e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 5.0000e-03, 5.9674e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 8.0000e-03, 5.5272e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.0000e-02, 5.3283e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 1.6000e-02, 4.9288e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 2.7000e-02, 4.5130e-01
1, 2, 3.7500e+01, 6.0000e+01, 1.0000e+00, 4.5000e-02, 4.1336e-01
